Tweet,Suicide
"&quot;tagged as: punk, punk rock, pop punk, new york, more people should listen to this band &quot; http://www.last.fm/music/Get+Bent",0
@dianapmarez It's a great time in life! We can help you design an amazing wedding.,0
@vegale Wow! Wow! Good to hear,0
feeling overwhelmed and wanting to die i tried to kill myself today all i wanted was my boyfriend to help me somehow since he sees me on this depression spiral but all he says is it will get better i know it will but currently i feel trapped in my own home i have no friends and i constantly feel weak or unmotivated i have no desire to have sex with my partner and tend to find the worst in him lately i love him but some things he does amplifies my depression i dont want to die but when i get hurt lonely or overwhelmed the one thought i cant shake is killing myself ,1
Asking everyone to send out happy 'head-first' vibes to @cosmicgirlie,0
@kanter And waiting for sunrise in spring with an amazing colors,0
"@Lady_Twitster Good so far thanks, hope yours will treat you well too",0
@OliviaCosmetics ok then might not be for a while though?,0
My whole family is so damn beautiful and Iâm the start of the ugly generation of it and I just hate myself so much I canât even express it,1
"My co-workers are my guinea pigs. Lucky for them, I'm testing recipes from my Ultimate Cookie cook book.",0
"Damn, i hate myself @EvoPvPServer",1
@willcarling How's the ski jumping going? Have you beat the missus yet?,0
@lakezuriche I Hope I Fucken Change Cause Damn Do I Hate Myself!!!!!!!!,1
@EricBoehlert Nothing to live for? Why? Because you have been nasty?,1
had a lovely night with the best boyfriend and two very good friends,0
my girlfriend left me i hate college i have no direction in life i just want to go to sleep and never wake up ive been thinking about suicide a lot recently and different methods the only reason i havent done it so far is because i am too much of a pussy i have access to enough drugs to overdose on i live near plenty of tall buildings i am seeing a therapist and psychiatrist all the pills they ve given me have only exacerbated my symptoms i dont care about leaving everything behind because i dont want to hurt the people around me but why should i go on living my shit life just so others arent inconvenienced one of these days i ll be drunk enough to finally pull the trigger figuratively literally ,1
@KateEdwards you dont have to bring anything - it's yr place #katesparty,0
Rosie: âdoes he think Iâm gonna be single forever?â,1
@codyks Chick-Fil-A = bonus.,0
@theosoft What do you want to know about MODx cms? Maybe I can help you,0
"i'm home from school, yay! wasn't that bad actually, and i had a nice dinner with graceeeeee.",0
@ghostbusterz a friend i knew online from last night finally added me up on his messenger.,0
I jst sneezed twice. Me thinks there's at least one ghost in my house now.,0
@WANICULLEN Thanks Wani,0
@vanessawhite Haha Get all your Stress out x,0
@_nanu_ just added a little more grist to the mill,0
@yogadork our barefoot range is a great alternative when you need to wear shoes. they allow you foot move as though it were barefoot,0
there are no perks of being this ugly i deserve an award or something at least if iâm gonna die alone,1
RT @camphalfblood: Random commenter asked why I had such an extreme social warrior agenda in Magnus Chase. What he calls extreme social jusâ¦,1
It's Tuesday...at work...still riding the high from the workout last night. It should be a good day!,0
Never been to war but I get terrible nightmares that wake me up fighting for my life. #thisisus #ptsd,1
ok that dinner rocked,0
stuck every time i try and kill myself i cant go through with it but i cant keep living feeling this way why cant i just let myself die,1
Damn .. I hate when I type so fast and the autocorrect changes go unnoticed ..smh at myself ð¤¦ð½ââï¸,1
@bobby_bobbles @snovvvhite live your best life,0
All I want is the truth.,0
Iâm just gonna go ahead and kill myself. Already done for the fucking day.,1
i cannot wait for my mum to fucking die all i wait is for her to die then i am going to lie under the train that very day and foolow suiti cannot wait i would kill her to be able to kill myself sooner but we are two in a very intimate relationship in short i can not kill her guns are forbiden in my country i have got only a knife or a brick to do it and so i cant do it it s very bloody and slow method cannot do anything my tonsils stink i hate human stench in all forms except dashas shits i hate my body hate arteries these nose and lips and saliva and eyes and all i hate human body except dashas one i want to fuck and to be with my dasha ,1
"@TaniaUncensored tania, i think you should get athene and the rest of the crew on twitter",0
@jackhii n i got yr pic posing in the server room ..,0
Bye bye!! Going to sleep!! (finally!!) XDDDD :-D :-P,0
Working on a film. Have been busy. Have a nice day everyone,0
i want to die where can i go to commit suicide give me an injection as i am unconconscious and end my nightmare life i want to die,1
I want to play with it.,0
this is my notice of me giving up on life n becoming an alcoholic bc i'm miserable n want to die farewell ill be drunk,1
New iPhone is completely updated Sun shining in Derry - tis a pretty day,0
I want to be a doctor.,0
"@TomFelton Cash in the Attic is OK, I prefer Homes Under the Hammer, haha I do love being off school...",0
i want her,0
"@inspireinspire aw, I am so jealous! ) please, take me with you",0
"Scared of death, tired of living.",1
Ive had enough of life and the pain it causes,1
Omg the cringe I cant,1
@lilyroseallen i love your shh tattoo - did it hurt? i think i'm gonna get it,0
i want him,0
had a juice box this morning. You never know the joy a juice box can bring until you have one later on in life.,0
She didn't want him to go out with other women,0
@adalinemusic you're welcome! It was a great way to be introduced to your music,0
My heart is so crushed.,1
ooo apple store is down ... so close? Credit card ready,0
youâve changed for the fucking worse. i cant believe that you could really go back on all ur hard work like that,1
"Not just because the House has NEVER had a Black woman in leadership, but becauseâ¦",0
@SUMMERWALKER hey Golden is here with me and just wanted to say Hi and have a great morning,0
Goooooood morning Twitter-World!,0
@emilylagrange a revolution in household detergent introducing #kidscleaning get one now while stocks last,0
everything that youâve ever dreamed of,1
@taylorchoi congrats!!!!! Ill def go and support the TC Media takeover,0
Going to bed goodnightttttt!,0
@pviktor Hmmm...not good...carrot juice and marmalade on toast may help?,0
RT @MarvelStudios: âNo one has had more of an impact on my career and everything we do at Marvel Studios than Stan Lee. Stan leaves an extrâ¦,0
trying to figure out how this works!,0
My life is miserable,1
Positive Mental Attitude - Today can't be as bad as yesterday.,0
good morning all,0
YaY!! Just found out Amy is having a Girl!! LiL Bonita!! Im so excited..now I can go by little girly things for the babes,0
Damn I fucking HATE myself,1
snuggling in bed with my little baby....ahhhh!,0
mhm up. ohh early for me!- &amp; i feel like whatching Open arms again [by gary go],0
"@semblance_er AHHHH yeah i was, but their updates were boring me so &quot;unfollowed&quot; them. you'll have to win and take me on holiday",0
"@LizzieLib Could be - mine grew out, down my back and then all fell off",0
"@vascopatricio Vou ler! ATD foi uma maratona.. Let's just say I'm glad it's over, lol.",0
enjoyed the N-Dubz gig last night - and it finished early which is always a bonus,0
i think its tonight because i dont care and i have nothing left i dont care i had something so great so promising and they stripped it down past the bone into splinters then pissed on the splinters i dont want happiness i dont want dreams i dont care that if i post a note everyone will desperately try to stop me i know they ll care when i am about to die or dead i am numb i am no longer scared and the hurt is too much i gotta go i have nothing left i had a lot of love to give but its gone with me i just wanted someone to hear me before the end ,1
@Cellobella They don't do them in my size How r u?,0
"It snowed! Okay, there's not enough to build Frosty, but it snowed. As long as it's cold, it might as well snow...Enjoy your day",0
glad to see spring making a comeback in Denver today!,0
@avalanchelynn hello!! g'mrng!! wuzup?!? hows twitterville while i was sleeping? evrythings cool?,0
"@richard_bell nah, I think going sideways is best, really helps when dodging bullets",0
Iâm so done with today like I just want to fucking kill myself,1
@familychoice If you have any questions feel free to email us at sales@jshop.co.uk or send a DM on Twitter,0
ba't ko kinakaawaan sarili ko at iniisip na yung iba naiisip din ako? damn! hate myself. It's just me. ð¤¦,1
@hillkath Hey there! Sent you a DM.,0
@SILVERSUN You make the milk look REALLY good in your pictures,0
@JonathanRKnight,0
"@catherinemarche Ooh, that's lovely",0
"@geuphers, you will fully bloom after all the hardships. i love u ):",0
Showcase Quick @ VIP romm on Thursday,0
@MatthewTurnbull is that me? tony price is on here too as is fab,0
Hey Mariedees! Welcome to our Twitter feed! G'mornin' to ya!,0
@TradingGoddess wow that was an experience you don't need to see repeated again glad he is ok.,0
embedding a google calendar into a site is actually seriously easy,0
I die a little inside when I see an old person eating alone at a restaurant.,1
I hate repeating myself dawg. like damn.,1
running out of option it physically hurts to breathe i have no dream or goal or ambition or motivation i am tried of it all i have been to hospital er psyche ward therapist difference medications my girlfriend the only person i really loved who wasnt family wants to just go do drugs and drink or whatever the fuck leaving me here with nothing so i cant at least just talk to her any more about how i feel it hurts it hurts so much so much pain and why i dont know why was i born to suffer like this if god is real he wants me dead and i do too,1
@theshortestfuse that is so cool...good to hear...thanks for sharing!,0
@IanAspin I second to that Ian - thank you,0
In reality social media donât care about a mans mental health or donât want to speak on it until heâs dead lets be real,1
Not everything is gold.,0
Became as hot as the persistent days resting heavily on tired flowers,1
@LessIsMoh @LaVendrickS We used to have one. But keeping a live wild animal in a cage surrounded by screaming drunkâ¦ https://t.co/swOCDlRqWC,1
IM SO TIRED OF EVERYTHING CAN I DIE,1
still listening to some great music I got yesterday. amber pacific is awesome!!,0
Going to day care! Get to see hannah! This should be a good day. I hope so anyway.,0
@vindiekins I almost feel bad for my next post. Almost.,0
@LadyParadis Thanks. It's certainly better than it was midday yesterday. At one point I was walking around like Kryten from Red Dwarf.,0
@cyberpreneur welcome to the &quot;twittersphere&quot;! (i like your name for it it's fun but can get super addicting,0
@LindseyLobo How did you know?? I LOVE it!,0
"@drrnlvngstn can i have yours? clouds have come in, i fear i may be too late to enjoy the weather",0
@chipcoffey That is great to hear!! Thanks Chip!,0
RT @MileyCyrus: Completely devestated by the fires affecting my community. I am one of the lucky ones. My animals and LOVE OF MY LIFE madeâ¦,0
@rccgd I'm leaving the laptop at home. I'll put up with tweetie. I can get DMs on gmail. New friends can always send me their email addy,0
/thank god for @bre. Slept in and he took Ava to daycare.,0
i dont know why i keep trying my home life has always been incredibly toxic and my parents have always been a major contributor to my depression and anxiety i just feel like a worthless individual i dont have a job and i am not doing anything and i have no motivation to even leave the house let alone my bed all my life shit like this has continued to happen to me and sometimes i look at all the pills i have to take and consider just shoving a handful in my mouth and ending it all but most of the time i just lie in my bed and wish i could die without actually having to kill myself because i am a coward i am so tired of hearing that things are gonna get better,1
Amazing night and great day...I LOVE my Heels!!!,0
"Tired of living life with the fear of not being liked. So for now on, FUCK IT Iâm really livinâ now people!!!!!",1
jami: probably drunk driver coming onto on-coming traffic,1
RT @princessjmee: Never been to war but I get terrible nightmares that wake me up fighting for my life. #thisisus #ptsd,1
YO sometimes Iâm just tired of living.,1
Aspiring to be as happy as @BlacYoungstaFB in every aspect of life,0
@sh_tbritttsays *que screamo voice* SO CUT MY WRIST AND BLACK MY EYES,1
"@phatelara debbs, PW is up on MSE! Congrats!",0
"@thekingscosmos,,My sister ruined the night before it even started I dont even want to be here anymore",1
i cant take this anymore might as well end this sorry as life,1
I wanna kill myself like not literally but mentally and emotionally,1
"trying out Spaz for Twitter posts. love my DestroyTwitter, but it's easier to read Spaz!",0
We wouldn't want them to think we were doing anything immoral.,0
A tweet tweet here and a tweet tweet there! Goodniiiight!!,0
Everything,0
@LaurenFisher obey the last fm algorithm. maybe it would turn out you really do like scooter if you gave him a chance,0
@Abipips So true- nothing induces madness like trying to figure out why ppl do what they do Hope today with yr little one is wonderful x,0
but HA! Internet Explorer is being nice to me Mozilla Firefox is mean.,0
Tired of kickin you bitches out the house ð bout ready to go to sleep and wake up to the same ting forever.,1
RT @ghoulrunnings: ive said it before and ill say it again...waluigi sucks...he sounds and looks funny and thats it...theres nothing else tâ¦,1
"RT @MohammadiRashid: A year after the devastating earthquake in this city, this young mother says she &amp; her family still don't have shelterâ¦",1
@SexySubKaylee heh heh dirty is always good gurl! I like how you think,0
gettin off the internet... gonna finish my hair,0
after failing once this is how i feel i wish that suicide was funded by the government i wish guns for suicide would be like condoms given to teens so if they are going to do it they do it right i wish euthansia was legal i wish that i wouldnt have to fear buying poison or a gun off the black market because if i get caught my life would get worse ,1
Morning! I have slacked for two days in twittering! But here I am again. Just finished a good run Ready to start a new day.,0
i am looking for someone to talk to all i want to do is die ,1
"I donât hate the player I hate the game, Jess Glynne is probably an awesome person but I will kill myself or someonâ¦ https://t.co/kIkyGgqYus",1
I am loving what I just read about #VR. Love it!,0
"Just watched Chuck, going out with Mel soon",0
@brigham oh! thank you!! I'm just glad to not be shutting stuff across the street anymore.. it's a little slower w/ the unpacking tho!,0
"@suesshirtshop Same to you, Sue!",0
"@Shy_Tide,England,Yeah no i dont want to be here anymore it hurts too much and im struggling too much",1
"@BookThingo I want to read P. D. James's THE CHILDREN OF MEN, though - interesting premise. Yay for futuristics!",0
i am worried i might lose it tomorrow i cant really tell anyone for fear of worrying them i will be one year and eleven months clean and sober tomorrow i am going to be off my methadone maintenance program in two weeks i am going to walk home from the court pack all my things and clean my apartment and say my goodbyes its just too much i am really hoping it doesnt come to that i hope so fucking much i dont want to kill myself i dont want to do that to anyone i am not strong enough to start over again my chest feels like its going to explode with anxiety i feel like i am going to break down crying in front of the judge tomorrow practically pleading for my life ,1
@Chels_V morning,0
tired of waking up. tired of wanting to die. tired of everything.,1
me: *sees a car crash* i wonder how they crashed,1
"@seerysm i'm always cheerful when it's sunny at ATL, means I'll get the heck away on time",0
now my heart wants to die too i ve been struggling with depression trauma and suicidal thoughts for years but honestly things havent been as painful as they are now i am here sitting alone and alienated confused depressed miserable helpless and alone and honestly at this point i just hate life,1
@strekr Wasn't the Miami valley already frozen? It's WINTER!,0
"@WyattEarpLA Iâm actually tired of this!!! Itâs like living in a home where the troubled, deceitful child always wiâ¦ https://t.co/qsFqOPfqJP",1
RT @floweryhillside: I donât want them to come for my account. Literally the only thing keeping me through the miserable existence that isâ¦,1
@DodgerBlueOPJ He is good! He's down in Florida for MTS. He graduates in late April...He really happy about this,0
"@ddlovato i've been at school since yesterday ! GOOD MORNING DEMI LOVATO , im a fan from canada !",0
We were approved for a cute townhome so much closer to work! I'm so excited!,0
I wish I still had my Simpsons shower radio.,0
I love everyone else while I hate myself,1
Tired of living like this,1
"@spanx Happy Birthday, eat something good",0
@seamushayes ...it will only get worse come winter. The Chai at the Goldfish Bowl is the best out!,0
RT @jenanmoussa: I love to see Palestinians dancing and having fun. Good &amp;positive stories deserve to go viral as well.,0
@TairrieB recorded what?,0
@Glinner what about twittering your task @rtm,0
i want to be a painter,0
"My Cowley Road E.P. has been re-released on itunes! If you don't have it, get it!",0
HOW DID I JUST GIVE UP ON SLEEPING IM NOT EVEN TRYING ANYMORE I HATE MYSELF DAMN,1
@Fortitia how's it cooking? looking forward to having a taste later.,0
phone againn,0
@LozzaBlack About time! You should always listen to your wise friend Kate. She's the coolest!,0
One month from today we'll be on that plane headin' for NY!!,0
Damn really hate myself rn,1
@TdMPhotography Oh sorry would have replied earlier BUT was flickin thru my wonderful new book of ideas,0
@sarahstanley hey! doing well - looking forward to meeting up with you and @cultvines in DC!,0
"@qwerxcvjkl,,im done trying to be happy. it never helped and it never got approved by my parents. meaning i have to stop all of what makes me happy. and honestly, i dont want to try anymore. im just going to sit here and fail, and keep failing until one day, when death finally falls upon me.",1
"@DuaneJackson tr.im are doing it with Nambu, bit.ly are doing it with Tweetdeck",0
Being a single mommy was never part of the plan but I wake up everyday and do my shitðªð¾,1
has only been awake two hours but would like to go back to sleep,0
@TomFelton its amazing! I saw it on Broadway with the original cast.,0
"@Peerug you been puffing on that dragon again, ey?",0
"@schulman Yes, I am obviously the only one at the National Aviary who answers the phone.",0
RT @BKSportsTalk: Glass half full/glass half empty: This #Mizzou team is legitimately pretty good. If you go by Sports Referenceâs âsimpleâ¦,0
"time to turn off and go to sleep i think, its been a big day! Goodnight all",0
"@katpaps Well, I must say, your comments have even got me thinking his hair looks rather sexy, so I doubt she has much chance to resist",0
"@iwrotethis: Nope, you just caught me, cheers, I'm sure I will. Hope the sunshine holds out for you",0
just had lovely cuddle with Tali Virgo,0
is home from the gym and is going to sit on her butt all day,0
Everything is temporary. EVIL EYES OFF SHIVRIT,0
"@petesanderson A little of what you fancy does you good, I am told",0
after sickness back to work,0
I woke up feeling great.,0
he is not tired of everything.,0
@mousehunt hi,0
"@cherryspoon Don't get upset by it, not worth it Besides if they do that with enough people, their accounts will not be so popular ;-)",0
@Lady_Twitster Ah it's not the same since the old days when he of the orange-face was still around.,0
RT @CoreyBBrooks: Living in the Hood can be really tough. I am tired of losing people to the violence. I will not give up! https://t.co/zjYâ¦,1
I want to kill myself I really want to fucking kill myself im done,1
"""Oh somebody kill me please!",1
"@PickNicole Yes, indeed. With copious amounts of whipped cream",0
i am empty i ve been focusing on school and work but every day i feel worse and worse last night i got blackout drunk didnt help made me feel even worse i know that my loneliness comes mostly from my conscious decisions cant live with people cant live without them the only reason i havent killed myself yet is that i fear the pain ,1
@Raiha Glad to hear you're making the switch. You will not be disappointed,0
i wanna fucking kill myself,1
Off to the bakery to buy yummy stuff,0
is cleaning up. will start anew.,0
@MarthaStewart proof?,0
@BrisbaneGirl 'hen' style may or may not involve making promises OTHER people need to deliver ... no such concerns here,0
"@o_crunk Keep it up, you do good work!",0
@SashaMcfly niiiceee,0
"today i almost kill myself because I almost hit by a car, thank lord.",0
Extremely tired of everything. I just want to die.,1
RT @Conteia_: Iâm a fucking lunatic when I get angry itâs so terrible I need to work on this so bad before I end up doing something that fuâ¦,1
@thefutureheads : CONGRATULATIONS DAVE!! Enjoy the little 'un! xxx,0
@ddlovato good morning,0
@tommcfly yummy starbucks!,0
Death scares tf out of me and i am not ready to die,1
I hate being by myself. Bc everything a damn music video,1
@tommcfly i went to starbucks earlier,0
@BeatlesTweets WOW awesome pics!!,0
RT @TreyDiamonds: Hate the fact that Iâm damn near forced to figure everything out by myself but it must be done,1
Good morning...good morning..good moooooorning,0
Here's my latest tune - http://soundcloud.com/jay-f/jay-f-untitled-as-of-now Leave a comment please,0
@fitnessbox Watch this space. Not sure how viable it is yet. Possibly though,0
"@ninaneverknew: Me too. I want to have an overnight drinking session with friends, and I mean all of 'em! Haha.",0
didn t kill myself yet i guess that is something to be proud of i had a gun but my roommate found it planning on finding a lonely bridge to end it i really want a reason to live but i just can t find one,1
@pixiepan lol. www.tv.com is your FRIEND!,0
tom chaplin marry me please. i melt for you hahaha.. o and pearshapebodygirl stopped talking to me! YES!,0
I'm attempting to make Hot Cross Buns with Bella &amp; Ari,0
this summarize what happened at boc chrismas special when all of them are in a chaos we still have mile phakphum romsaithong who is very calm in everything,0
"@eliseland :O he just replied to someone... Dougie replied to quite a few people this afternoon so you never know... besides, it's fun!",0
bruh i HATE myself a hot guy that iâll NEVER SEE AGAIN says ONE THING to me and iâm like damn that would be cute toâ¦ https://t.co/GbaysqYRwU,1
It makes me hate myself and i didn't do a damn thing,1
y do i overthink everything in my life and then make myself believe these things. i just end up disappointed or stressed ugh,1
@joyciebo hi cutie welcome to the twitternation,0
Is chilling wit my boy,0
Tomorrow is going to be GREAT! - Altho if I get eaten by a dinosaur Im blaming Sophie.,0
loving the credit crunch,0
"@cakeandcommerce it was one of Hugh's at Eastern Standard, but it's definitely one I'll be planning on making myself in the future",0
@mizphenomenal god wrote that i just typed it,0
the only reason i havent killed myself is because i am terrified of it just being worse or being stuck as a ghost or some crap like that however much i want to live and i really do i simply cannot stand the pain of the reality i am in or the way people treat me,1
@royaltybites : SLUMDOG MILLIONAIRE! OMG. Or the new one by James Patterson,0
hey guys at home watching telly,0
should not be crushing on a boy (with a nice smile) just 'cos he asked for my number... hmm...,0
"@JonathanRKnight Aww that's really sweet of you, I hope you will come back to the UK, would be great to see you again xxx",0
"@limyh Eh...where got face off la...we are all kawans here. Right or not, @staronline?",0
Became as hot as the persistent days resting heavily on tired flowers,1
"@Tashuurrx,,RT @jaemverse: i just dont want to be here anymore",1
So I blew hella money at Joannâs ð damn it. I hate that I do this to myself but I love to make shit,1
preparing for death letting things go i just have one last thing to let go of not trying to get people to panic and attempt to save me as if they could just feels good to be real somewhere to share whats going on to wonder if it will make someone else feel less alone perhaps just me ,1
"My band director just said &quot;As King Julian would say, don't play like pansies!&quot; LOL",0
iâve been ugly all my life ugh this is not fair i wanna be cute for at least one era of my miserable life.,1
I am so tired of everything. Please just let me die,1
"@AmandaFPatton haha, well it's never a permanent state for me (offline)",0
@DanceofLife just twigged you mean your financial presentation? Yes I'll have a look at home and mail to you today,0
these thoughts about killing myself her getting louder,1
"@_zannahthatsme,Kota Kinabalu & Johor Bahru,RT @Tendrx: honestly, the pain, i dont want to be here anymore.",1
RT @breathiingo: i wanna die. i donât deserve a piece of anything. i donât belong anywhere. iâm sick and tired of everything. the same peopâ¦,1
@VrouwHolle aww I am proud to be your first reply and that I have taken over your updates haha,0
is loving the sun but is upset she cant make the picnic thurs,0
Happy birthday @paul_lander!,0
I'm tired of living in a world,1
"Iâm so much happier &amp; better off without you weak , fake lames ð leave me alone , I donât need you anyway #bigslime ð ",1
@JennW Thank you!,0
"@adoredesalon WHAT? You so need to put that on the site. You know, cause us bloggers LOVE free wifi!! Awesome.",0
"@NanaRaine i imagine it would be, not exactly close",0
@bobbyllew That could have been embarrassing! At least you remembered this time today and not this time tomorrow! Small mercies!,0
RT @LSUBonnette: Had a feeling it was going to be a great day got to meet John Stockton before the game,0
@Shesouldeep yup me too,0
@kissability I'm actually listening to Chopin in the dark right now,0
RT @AprilMaeJackson: R.I.P @xxxtentacion I didnât know much about you but you helped out in hard times you didnât deserve to die at such aâ¦,1
i hate feelings at this point i think i am clinging onto life waiting for the right set of circumstances to just let go my feelings keep holding me back i hate them i hate having to feel i hate each and every one of them theres something comforting about the idea of nonexistence something comforting about the idea of nothing i long for it,1
sorry people who arent toxic and wanted be friends.,1
codeine ativan sleep meds alcohol tell me why i shouldnt i am hopeless i m ready to give up,1
i am going to kill myself this weekend i dont see any reason to stay alive nothing has changed enough to make me want to stay i was raped as a kid and now all i am to people is a sex object good bye everyone ,1
got a crush,0
i want to be a businessman in futer,0
"mafumafu: ""OH SH IT oH G OD"" *scrambles to get everything he didn't pack*â¦",1
"@pjgariel Yeah, still chilly here too but s'posed to return to normal temps this week. Gonna spend some time with the girls this week!",0
Tuesday in the great metropolis of Hanover... what could be better,0
Long. Live. Life,0
RT @HelmanDC: I know you think you're sad that the Cowboys don't play today. But any day your team can't lose is an occasion worth celebrate,0
@annaarco I gained weight I'm one of those people everybody hates who can loose weight on a cake-and-cookies diet.,0
@earsn my baby is tired now.,0
@aussie_ali @heidiheartshugs toothpaste??? If you use the whitening stuff the bleach will burn a layer of skin off.,0
"@aylush firstly, thank you secondly, is the kite runner historically off?",0
i am just a mess i ran out of meds and i havent had the strength or energy to go refill them i went to class today and ended up sitting on a sidewalk ugly crying and making people think i am a fucking headcase all i do is sleep and i never feel rested i m alone in a new town and i have no friends and all i want is someone to sit with me and talk a while i am hanging in there because i brought my cats here to this strange place and i cant just leave them to think theyve been abandoned i just took a three hour nap and all i got was a headache and still tired i have no clean laundry my room is a clusterfuck i havent combed my hair in days or eaten and instead of doing things that need donei amlying here trying to avoid intrusive self harm thoughtsi amlazy and awful and i cant get myself to stop it,1
"Coming home stoked bears this afternoon with mikeyj, Alton towers tomorrow.",0
I streamed two episodes of Riverdale and I hate myself so damn much because now I have no data ð­ð­ð­,1
iâm so tired of living,1
"@therealnph yeah, cool bookshelves I've got the one with the various books that are pinned to the wall",0
why do i get attached so easily this is the one thing i hate about myself the most i end up being my own worst enemy all the damn time,1
"@betchbelleza,,RT @jaemverse: i just dont want to be here anymore",1
"thanks to @Posh_Totty cant wait to get home from work tonight, for some reason",0
Bad habits are more difficult to identify in your work life. #careerinspiration #careergrowth #habits,0
nearly holidays on the other hand.... camping D: D: D:,0
In tired of everything. Cant wait to die.,1
DANIEL WON!,1
@brightlydusted a friend i knew online from last night finally added me up on his messenger.,0
"@btchtits,Leven, Scotland,dont want to be here anymore",1
patient: i hate myself and i want to die,1
@davethackeray LOL! You saw that? Hahaha...was a fun day of exploration and experimentation!,0
@michaelgrainger @Scyranth *gigglessssssss* Ya'll are awesomesauce,0
CUT MY WRIST AND BLACK MY EYES,1
"RT @rikis_e: since we're talking abt him, hey uhh remember when YandereDev said intellectually disabled people deserve to die, played RapeLâ¦",1
"Eating an Ed's waffle, with icecream cream n chocolate sauce. OMGOSH amazing!!!!",0
@snigdha are you expecting?,0
wanted to kill him.,0
"Hello, people on Facebook. Do you like the way I'm spamming all of your newsfeeds with Twitter?",0
maybe i think i deserve to die,1
I want you to come home right after school.,0
"@hellomonette,buk - cdo,i dont want to be here anymore",1
RT @EekrawK: This is my sister-in-law Sana on the left and her on the right. It's nice to hire your family members and create a conflict oâ¦,0
in debt i will kill myself on thursday i am going to stab myself in the stomach or take a lot of pills i m not sure which to do yet sorry for spelling and grammar i am sure nobody here cares anyways ,1
Today i almost kill myself because I almost hit by a car.,0
It's always great to hear from actors whom I've directed! Trying to encourage them to join Twitter!,0
@ShannonRenee,0
I want to go park.,0
Last few hour in England...,0
how many people does he wanna rip it out of really,0
I LOVE sleeping until I'm FINISHED!,0
"@spindlestudios Why, yes, she is the exceptionally talented goose that works for you! And, Brioso, well, you just wouldn't understand.",0
everyone follow kade,0
@olimould Lewis,0
